x;Objective;Activity;Action;Proximity;Human Role;Information Acquisition;Information Analysis;Action Selection;Action Implementation;Criticality;
0;Assembling the threaded stick component;Starting the stick loading procedure;Worker is instructed to move to a robot indicated by a green light;Avoidance;Bystander;Low;Low;Low;Low;Loss of comfort;
1;Assembling the threaded stick component;Starting the stick loading procedure;Worker arrives at robot station (based on positional beacon);Passing;Bystander;Medium;Medium;Low;Low;Loss of comfort;
2;Assembling the threaded stick component;Starting the stick loading procedure;Robot arm moves it end effector to the correct position (when user arrives);Approaching;Collaborator;Low;Low;Low;Medium;Loss of comfort;
3;Assembling the threaded stick component;Starting the stick loading procedure;Worker receives instructions on how to open the mounting mechanism;Approaching;Collaborator;Low;Low;Low;Low;Loss of comfort;
4;Assembling the threaded stick component;Starting the stick loading procedure;Worker opens mounting mechanism off the robot;Touching;Collaborator;Low;Low;Low;Low;Chance at injury;
5;Assembling the threaded stick component;Insert the first stick into the mounting mechanism;Worker receives instructions on how to load the first stick into the mouting mechanism;Approaching;Collaborator;Low;Low;Low;Low;Loss of comfort;
6;Assembling the threaded stick component;Insert the first stick into the mounting mechanism;Worker inserts the first stick (guided by the led lights);Touching;Collaborator;Low;Low;Low;Low;Loss of discretionary money;
7;Assembling the threaded stick component;Insert the first stick into the mounting mechanism;Worker secures the stick on the mounting mechanism;Touching;Collaborator;Low;Low;Low;Low;Chance at injury;
8;Assembling the threaded stick component;Insert the first stick into the mounting mechanism;Worker confirms that the stick is in position;Approaching;Collaborator;Low;Low;Low;Low;Loss of discretionary money;
9;Assembling the threaded stick component;Insert the first stick into the mounting mechanism;Worker is instructed to move to a position behind the line (safety zone robot);Avoidance;Bystander;Low;Low;Low;Low;Loss of comfort;
10;Assembling the threaded stick component;Insert the first stick into the mounting mechanism;Worker confirms that is behind the line.;Avoidance;Bystander;Low;Low;Low;Low;Chance at injury;
11;Assembling the threaded stick component;Insert the first stick into the mounting mechanism;Worker is warned that the robot will move and confirms that is behind the line;Avoidance;Bystander;Low;Low;Low;Low;Chance at injury;
12;Assembling the threaded stick component;Insert the first stick into the mounting mechanism;Robot starts rotating the mounting mechanism to enable the worker to load the next stick;Avoidance;Bystander;Low;Low;Low;Medium;Chance at injury;
13;Assembling the threaded stick component;Insert the second stick into the mounting mechanism;Worker receives instructions on how to load the first stick into the mouting mechanism;Approaching;Collaborator;Low;Low;Low;Low;Loss of comfort;
14;Assembling the threaded stick component;Insert the second stick into the mounting mechanism;Worker inserts the first stick (guided by the led lights);Touching;Collaborator;Low;Low;Low;Low;Loss of discretionary money;
15;Assembling the threaded stick component;Insert the second stick into the mounting mechanism;Worker secures the stick on the mounting mechanism;Touching;Collaborator;Low;Low;Low;Low;Chance at injury;
16;Assembling the threaded stick component;Insert the second stick into the mounting mechanism;Worker confirms that the stick is in position;Approaching;Collaborator;Low;Low;Low;Low;Loss of discretionary money;
17;Assembling the threaded stick component;Insert the second stick into the mounting mechanism;Worker is instructed to move to a position behind the line (safety zone robot);Avoidance;Bystander;Low;Low;Low;Low;Loss of comfort;
18;Assembling the threaded stick component;Insert the second stick into the mounting mechanism;Worker confirms that is behind the line.;Avoidance;Bystander;Low;Low;Low;Low;Chance at injury;
