x;Objective;Activity;Action;Proximity;Human Role;Information Acquisition;Information Analysis;Action Selection;Action Implementation;Criticality;Criticality_Change;Proximity_Change;Human Role_Change;Information Acquisition_Change;Information Analysis_Change;Action Selection_Change;Action Implementation_Change
0;Assembling the threaded stick component;Starting the stick loading procedure;Worker is instructed to move to a robot indicated by a green light;Avoidance;Bystander;Low;Low;Low;Low;Loss of comfort;" ";i;" ";i;i;" ";" "
1;Assembling the threaded stick component;Starting the stick loading procedure;Worker arrives at robot station (based on positional beacon);Passing;Bystander;Medium;Medium;Low;Low;Loss of comfort;" ";ii;i;id;id;" ";i
2;Assembling the threaded stick component;Starting the stick loading procedure;Robot arm moves it end effector to the correct position (when user arrives);Approaching;Collaborator;Low;Low;Low;Medium;Loss of comfort;" ";i;i;d;d;" ";id
3;Assembling the threaded stick component;Starting the stick loading procedure;Worker receives instructions on how to open the mounting mechanism;Approaching;Collaborator;Low;Low;Low;Low;Loss of comfort;i;i;" ";" ";" ";" ";d
4;Assembling the threaded stick component;Starting the stick loading procedure;Worker opens mounting mechanism off the robot;Touching;Collaborator;Low;Low;Low;Low;Chance at injury;id;id;" ";" ";" ";" ";" "
5;Assembling the threaded stick component;Insert the first stick into the mounting mechanism;Worker receives instructions on how to load the first stick into the mouting mechanism;Approaching;Collaborator;Low;Low;Low;Low;Loss of comfort;dd;di;" ";" ";" ";" ";" "
6;Assembling the threaded stick component;Insert the first stick into the mounting mechanism;Worker inserts the first stick (guided by the led lights);Touching;Collaborator;Low;Low;Low;Low;Loss of discretionary money;dis;i;" ";" ";" ";" ";" "
7;Assembling the threaded stick component;Insert the first stick into the mounting mechanism;Worker secures the stick on the mounting mechanism;Touching;Collaborator;Low;Low;Low;Low;Chance at injury;ids;d;" ";" ";" ";" ";" "
8;Assembling the threaded stick component;Insert the first stick into the mounting mechanism;Worker confirms that the stick is in position;Approaching;Collaborator;Low;Low;Low;Low;Loss of discretionary money;di;dd;d;" ";" ";" ";" "
9;Assembling the threaded stick component;Insert the first stick into the mounting mechanism;Worker is instructed to move to a position behind the line (safety zone robot);Avoidance;Bystander;Low;Low;Low;Low;Loss of comfort;ii;d;d;" ";" ";" ";" "
10;Assembling the threaded stick component;Insert the first stick into the mounting mechanism;Worker confirms that is behind the line.;Avoidance;Bystander;Low;Low;Low;Low;Chance at injury;i;" ";" ";" ";" ";" ";" "
11;Assembling the threaded stick component;Insert the first stick into the mounting mechanism;Worker is warned that the robot will move and confirms that is behind the line;Avoidance;Bystander;Low;Low;Low;Low;Chance at injury;" ";" ";" ";" ";" ";" ";i
12;Assembling the threaded stick component;Insert the first stick into the mounting mechanism;Robot starts rotating the mounting mechanism to enable the worker to load the next stick;Avoidance;Bystander;Low;Low;Low;Medium;Chance at injury;d;i;i;" ";" ";" ";id
13;Assembling the threaded stick component;Insert the second stick into the mounting mechanism;Worker receives instructions on how to load the first stick into the mouting mechanism;Approaching;Collaborator;Low;Low;Low;Low;Loss of comfort;dd;ii;i;" ";" ";" ";d
