Activity;Action;Proximity;Human Role;Information Acquisition;Information Analysis;Action Selection;Action Implementation;Criticality;
Prepare the first step of the assembly;User receives build instructions from the robot system;None;Cooperator;Low;Low;Low;Low;Loss of discretionary money;
Prepare the first step of the assembly;User places the required angle pieces on the moveable platform;Approaching;Cooperator;Low;Low;Low;Low;Loss of discretionary money;
Prepare the first step of the assembly;User presses the step-button to continue the building proces;Approaching;Cooperator;Low;Low;Low;Low;Loss of discretionary money;
Assemble the first step in the assembly procedure;Robot picks-up the required building plate needed in the step;Passing;Supervisor;Low;Low;Low;Low;Loss of discretionary money;
Assemble the first step in the assembly procedure;Robot moves and rotates the moveable platform to the required position.;Passing;Supervisor;Low;Low;Low;Low;Loss of discretionary money;
Assemble the first step in the assembly procedure;Robot moves the building plate to the correct position against the building object on the platform.;Passing;Supervisor;Low;Low;Low;Low;Loss of discretionary money;
Assemble the first step in the assembly procedure;Users attaches the build plate to the object using bolts and nuts;Following;Collaborator;Low;Low;Low;Low;Loss of comfort;
Assemble the first step in the assembly procedure;User instructs the robot to move away from the object to give the user place to finish the assembly;Approaching;Cooperator;Low;Low;Low;Low;Loss of comfort;
Assemble the first step in the assembly procedure;User presses the step-button to continue the building proces;Approaching;Cooperator;Low;Low;Low;Low;Loss of discretionary money;
Assemble the second step in the assembly procedure;Robot moves and rotates the moveable platform to the required position.;Passing;Supervisor;Low;Low;Low;Low;Loss of discretionary money;
Assemble the second step in the assembly procedure;Robot moves the building plate to the correct position against the building object on the platform.;Passing;Supervisor;Low;Low;Low;Low;Loss of discretionary money;
Assemble the second step in the assembly procedure;Users attaches the build plate to the object using bolts and nuts;Following;Collaborator;Low;Low;Low;Low;Loss of comfort;
Assemble the second step in the assembly procedure;User instructs the robot to move away from the object to give the user place to finish the assembly;Approaching;Cooperator;Low;Low;Low;Low;Loss of comfort;
Assemble the second step in the assembly procedure;User presses the step-button to continue the building proces;Approaching;Cooperator;Low;Low;Low;Low;Loss of discretionary money;
Assemble the third step in the assembly procedure;Robot moves and rotates the moveable platform to the required position.;Passing;Supervisor;Low;Low;Low;Low;Loss of discretionary money;
Assemble the third step in the assembly procedure;Robot moves the building plate to the correct position against the building object on the platform.;Passing;Supervisor;Low;Low;Low;Low;Loss of discretionary money;
Assemble the third step in the assembly procedure;Users attaches the build plate to the object using bolts and nuts;Following;Collaborator;Low;Low;Low;Low;Loss of comfort;
Assemble the third step in the assembly procedure;User instructs the robot to move away from the object to give the user place to finish the assembly;Approaching;Cooperator;Low;Low;Low;Low;Loss of comfort;
Assemble the third step in the assembly procedure;User presses the step-button to continue the building proces;Approaching;Cooperator;Low;Low;Low;Low;Loss of discretionary money;
Remove the object;Remove the object from the moveable platform;None;Bystander;Low;Low;Low;Low;Loss of discretionary money;
